,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
23277,2020-02-07T00:00:00.000,VA,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23278,2020-05-09T00:00:00.000,WY,653,495.0,158.0,9.0,4.0,7,7.0,0.0,0.0,0.0,2020-05-10T21:26:08.000,Agree,Agree
23279,2020-09-09T00:00:00.000,FSM,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2020-09-10T14:02:53.721,Agree,Agree
23280,2020-05-14T00:00:00.000,CA,73164,,,2023.0,0.0,3032,,,98.0,0.0,2020-05-15T16:11:22.000,Not agree,Not agree
23281,2020-10-28T00:00:00.000,ND,41130,41130.0,0.0,1223.0,0.0,499,,,11.0,0.0,2020-10-29T14:11:33.577,Agree,Not agree
23282,2020-03-21T00:00:00.000,GU,14,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
23283,2020-07-14T00:00:00.000,GU,313,,,1.0,0.0,5,,,0.0,0.0,2020-07-15T15:05:12.266,Not agree,Not agree
23284,2020-12-18T00:00:00.000,IL,886805,886805.0,0.0,7377.0,0.0,16206,15015.0,1191.0,221.0,41.0,2020-12-19T14:42:31.925,Agree,Agree
23285,2021-01-25T00:00:00.000,AL,443009,350988.0,92021.0,1839.0,312.0,6662,5469.0,1193.0,2.0,0.0,2021-01-26T14:46:01.604,Agree,Agree
23286,2020-10-29T00:00:00.000,IN,172730,,,3618.0,0.0,4260,4024.0,236.0,33.0,0.0,2020-10-30T13:37:23.555,Not agree,Agree
23287,2021-01-10T00:00:00.000,AL,401900,321285.0,80615.0,2750.0,464.0,5334,4587.0,747.0,35.0,11.0,2021-01-11T15:01:02.286,Agree,Agree
23288,2020-08-23T00:00:00.000,MT,6490,6490.0,0.0,114.0,0.0,91,91.0,0.0,1.0,0.0,2020-08-24T13:54:34.344,Agree,Agree
23289,2020-03-06T00:00:00.000,IL,6,,,1.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23290,2021-01-18T00:00:00.000,MO,500025,,,1751.0,427.0,6256,,,2.0,0.0,2021-01-19T09:37:00.000,Not agree,Not agree
